                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1217,                0.51941,                 1.0319,                 0.9695,                0.89814,                0.96669,                0.65528,                 1.1637,                0.54144,                 1.1698,               0.000948,               0.000948,               0.000948
                     36,                 1.0656,                0.52182,                 1.0426,                0.95514,                0.92069,                0.96468,                0.66625,                  1.152,                 0.5414,                 1.1545,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.0526,                0.51271,                 1.0323,                0.98433,                0.93374,                0.96764,                0.67993,                 1.0251,                0.50718,                 1.0877,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0472,                0.51393,                 1.0117,                0.97656,                0.92331,                 0.9696,                0.65908,                 1.0795,                0.52161,                 1.1315,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0808,                0.52514,                 1.0243,                0.97672,                0.92901,                0.96643,                0.68918,                 1.0916,                0.49706,                 1.1281,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0796,                0.53353,                 1.0205,                0.97542,                0.91982,                0.96832,                0.69531,                 1.0576,                0.49445,                 1.1039,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.0531,                0.51728,                 1.0402,                0.96618,                0.91389,                0.96942,                 0.6921,                      1,                 0.5011,                 1.0786,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0537,                0.51832,                 1.0134,                0.93624,                0.93802,                0.97636,                 0.6943,                0.99897,                0.48728,                 1.0885,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.0402,                0.51005,                 1.0147,                 0.9203,                0.96348,                0.97846,                0.68637,                 1.0774,                0.47486,                 1.1114,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.0022,                0.49065,                 1.0122,                0.92965,                0.94895,                0.97902,                0.69584,                   1.01,                0.47018,                 1.0879,             0.00082067,             0.00082067,             0.00082067
